value,type,created_at,updated_at,status,score,expires_at,tags,sources
e728a9053948567e49c945e81bd4927a05c622b67504420ed37aaefde7758adf,SHA-256,2022-10-05T23:37:51.203Z,2022-10-05T23:37:58.328Z,Review,7,,,"CrowdStrike Indicators"
38a894f6b16a7769639eeb07f74068d70d933b76,SHA-1,2022-10-05T23:37:51.211Z,2022-10-05T23:37:58.328Z,Review,7,,,"CrowdStrike Indicators"
f9ec05c8fdddf0b1e9f8242591749048,MD5,2022-10-05T23:37:51.221Z,2022-10-05T23:37:58.328Z,Review,7,,,"CrowdStrike Indicators"
0b9fe7bbb9273bee8c07ac9779a831f90691f4df,SHA-1,2022-10-06T14:52:42.883Z,2022-10-06T14:52:49.611Z,Review,7,,,"CrowdStrike Indicators"
5e769c5f1a0679e997ee59f4f93840a5,MD5,2022-10-06T14:52:50.513Z,2022-10-06T14:52:59.219Z,Review,7,,,"CrowdStrike Indicators"
a6139bdca97e64199c3310c6695b12d8260f121b06c94a973d95cbf8bf0966a6,SHA-256,2022-10-06T14:52:50.574Z,2022-10-06T14:52:59.219Z,Review,7,,,"CrowdStrike Indicators"
0099c05852f44002334178bdc804d26c49fb0529,SHA-1,2022-10-06T23:45:50.776Z,2022-10-06T23:45:58.614Z,Review,7,,,"CrowdStrike Indicators"
9dd7ce97c2f3a448caf7e83f1f9b9396d7cfd3b74c961914d0744b9af3f46eba,SHA-256,2022-10-06T23:45:50.823Z,2022-10-06T23:45:58.614Z,Review,7,,,"CrowdStrike Indicators"
7390a50ac6c7aa27750caebeffa84e2a,MD5,2022-10-06T23:45:50.898Z,2022-10-06T23:45:58.614Z,Review,7,,,"CrowdStrike Indicators"
fuun.ml,FQDN,2022-10-07T05:08:57.234Z,2022-10-07T05:09:07.014Z,Review,7,,,"CrowdStrike Indicators"
asushotfix.com,FQDN,2022-10-07T16:21:17.249Z,2022-10-07T16:21:25.570Z,Review,7,,,"CrowdStrike Indicators"
e01c1047001206c52c87b8197d772db2a1d3b7b4,SHA-1,2022-10-07T16:21:26.520Z,2022-10-07T16:21:34.422Z,Review,7,,,"CrowdStrike Indicators"
a911bec0c307f542990016ed3cb15bae7a61d489278800f111794387f7995e2e,SHA-256,2022-10-07T16:21:45.072Z,2022-10-07T16:21:52.999Z,Review,7,,,"CrowdStrike Indicators"
0f49621b06f2cdaac8850c6e9581a594,MD5,2022-10-07T16:21:53.438Z,2022-10-07T16:22:00.898Z,Review,7,,,"CrowdStrike Indicators"
windows.dnsrd.com,FQDN,2022-10-07T16:34:19.181Z,2022-10-07T16:34:31.414Z,Review,7,,,"CrowdStrike Indicators"
v3hagesrj.symantecupd.com,FQDN,2022-10-07T16:34:41.452Z,2022-10-07T16:34:49.780Z,Review,7,,,"CrowdStrike Indicators"
wntc.livehost.live,FQDN,2022-10-07T16:34:58.674Z,2022-10-07T16:35:08.308Z,Review,7,,,"CrowdStrike Indicators"
2og8qfrkrk.symantecupd.com,FQDN,2022-10-07T16:35:09.753Z,2022-10-07T16:35:20.025Z,Review,7,,,"CrowdStrike Indicators"
web.goog1eweb.com,FQDN,2022-10-07T16:35:31.380Z,2022-10-07T16:35:38.130Z,Review,7,,,"CrowdStrike Indicators"
ns1.watson.misecure.com,FQDN,2022-10-07T16:36:27.311Z,2022-10-07T16:36:35.396Z,Review,7,,,"CrowdStrike Indicators"
microsofts.freeddns.com,FQDN,2022-10-07T16:51:55.859Z,2022-10-07T16:52:03.716Z,Review,7,,,"CrowdStrike Indicators"
ssl2.ahnlabinc.com,FQDN,2022-10-07T16:55:35.207Z,2022-10-07T16:55:43.048Z,Review,7,,,"CrowdStrike Indicators"
microsoft.sendsmtp.com,FQDN,2022-10-07T16:55:36.189Z,2022-10-07T16:55:43.048Z,Review,7,,,"CrowdStrike Indicators"
owa.ahnlabinc.com,FQDN,2022-10-07T16:55:59.890Z,2022-10-07T16:56:12.412Z,Review,7,,,"CrowdStrike Indicators"
update.mircrosotf.com,FQDN,2022-10-07T17:26:29.527Z,2022-10-07T17:26:44.388Z,Review,7,,,"CrowdStrike Indicators"
fun.fuun.ml,FQDN,2022-10-07T18:08:57.718Z,2022-10-07T18:09:07.458Z,Review,7,,,"CrowdStrike Indicators"
arress.windowshostnamehost.club,FQDN,2022-10-07T18:09:08.489Z,2022-10-07T18:09:19.268Z,Review,7,,,"CrowdStrike Indicators"
news.extrsports.ru,FQDN,2022-10-07T18:09:35.828Z,2022-10-07T18:09:42.435Z,Review,7,,,"CrowdStrike Indicators"
bc.windowshostnamehost.club,FQDN,2022-10-07T18:10:24.930Z,2022-10-07T18:10:33.041Z,Review,7,,,"CrowdStrike Indicators"
ns1.mssetting.com,FQDN,2022-10-07T18:10:58.355Z,2022-10-07T18:11:11.110Z,Review,7,,,"CrowdStrike Indicators"
cdn.gotokeep.gq,FQDN,2022-10-07T18:15:18.627Z,2022-10-07T18:15:29.731Z,Review,7,,,"CrowdStrike Indicators"
gotokeep.gq,FQDN,2022-10-07T18:15:18.696Z,2022-10-07T18:15:29.731Z,Review,7,,,"CrowdStrike Indicators"
69761e570ecd217031dfe8983dbde7a4,MD5,2022-11-24T00:52:13.460Z,2022-11-24T00:52:21.302Z,Review,7,,,"CrowdStrike Indicators"
c1342c3eaa5f1c9813264435660579a44e5d750c,SHA-1,2022-11-24T00:52:13.790Z,2022-11-24T00:52:21.302Z,Review,7,,,"CrowdStrike Indicators"
2751d5f407e6247f037c2830420e99eaeb9b96d94ea6f2012aeca28ea1590377,SHA-256,2022-11-24T00:52:14.080Z,2022-11-24T00:52:21.302Z,Review,7,,,"CrowdStrike Indicators"
ed03bc920c85ef621ca137978f60b8d9,MD5,2022-11-24T00:53:11.987Z,2022-11-24T00:53:19.419Z,Review,7,,,"CrowdStrike Indicators"
b1338d1755f2273ba0e5f10aee5479517262a118afbd2c3e1e4a797327569113,SHA-256,2022-11-24T00:53:12.470Z,2022-11-24T00:53:19.419Z,Review,7,,,"CrowdStrike Indicators"
87907e3145afc63d9501b7d1ac5e14fbc83e4cd8,SHA-1,2022-11-24T00:53:12.689Z,2022-11-24T00:53:19.419Z,Review,7,,,"CrowdStrike Indicators"
